日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1150326","2371","大同","7368814","228107534","31.10","31.55","30.70","30.70","-0.3500","4636"
"1150326","2373","震旦行","76107","4270322","56.80","56.80","55.60","55.80","-0.7000","284"
"1150326","2374","佳能","3506091","252962924","72.60","73.40","71.10","72.50","0.4000","3810"
"1150326","2375","凱美","961040","74893794","78.80","79.80","75.80","75.80","-2.1000","1018"
"1150326","2376","技嘉","4775188","1120615856","236.00","237.00","232.50","233.50","-0.5000","3762"
"1150326","2377","微星","2894074","263846714","90.90","91.70","90.60","90.70","0.0000","2680"
"1150326","2379","瑞昱","2012020","987170091","488.50","495.00","485.00","489.00","0.0000","5134"
"1150326","2380","虹光","238537","1442035","5.94","6.09","5.94","6.02","-0.2100","463"
"1150326","2382","廣達","11451879","3295576248","287.00","291.00","284.00","287.00","2.0000","10601"
"1150326","2383","台光電","4555967","13540701748","2920.00","3035.00","2895.00","2945.00","100.0000","11593"
"1150326","2385","群光","3263224","399079666","123.50","123.50","121.50","122.00","-1.0000","2236"
"1150326","2387","精元","3402795","151898046","44.90","44.90","44.50","44.60","0.1500","2318"
"1150326","2388","威盛","4241425","223271633","52.70","53.50","51.60","52.40","0.5000","2476"
"1150326","2390","云辰","556733","5855657","10.50","10.65","10.40","10.50","0.0500","417"
"1150326","2392","正崴","842294","30740375","36.40","36.80","36.20","36.25","0.0000","789"
"1150326","2393","億光","4402492","307009153","69.70","70.70","68.80","69.60","0.2000","3517"
"1150326","2395","研華","3120575","1064230666","336.00","346.50","335.50","339.00","5.5000","3820"
"1150326","2397","友通","151449","8398277","56.00","56.00","55.00","55.50","-0.3000","104"
"1150326","2399","映泰","4249892","130722981","31.55","32.05","29.25","29.25","-2.3000","3205"
"1150326","2401","凌陽","2054453","42527468","20.95","21.20","20.35","20.45","-0.3000","1612"
"1150326","2402","毅嘉","5674132","294089514","51.60","52.40","51.10","51.30","0.0000","3148"
"1150326","2404","漢唐","4674223","4293459542","949.00","953.00","905.00","905.00","-38.0000","20029"
"1150326","2405","輔信","4571157","74306782","16.55","16.65","15.80","15.85","-0.7000","3000"
"1150326","2406","國碩","53761624","2012375224","36.95","38.75","36.00","36.60","0.0000","27770"
"1150326","2408","南亞科","185144097","44151062439","249.00","249.00","225.00","225.50","-1.0000","125715"
"1150326","2409","友達","58205039","874933604","15.10","15.30","14.75","14.80","-0.2000","15237"
"1150326","2412","中華電","5075813","683522818","135.50","135.50","134.00","134.50","-0.5000","3280"
"1150326","2413","環科","17864278","1040557307","55.50","59.70","54.80","55.70","1.4000","9306"
"1150326","2414","精技","102752","4454002","43.60","43.60","43.20","43.35","-0.0500","99"
"1150326","2415","錩新","280018","8336137","29.60","30.25","29.30","29.75","-0.1000","243"
"1150326","2417","圓剛","238435","8322190","35.15","35.25","34.60","34.65","-0.5000","686"
"1150326","2419","仲琦","20348205","670194703","30.50","33.25","30.50","33.25","3.0000","9264"
"1150326","2420","新巨","181607","9484057","52.70","52.70","51.80","52.00","-0.6000","185"
"1150326","2421","建準","6777423","952233798","141.00","145.00","136.00","136.00","-3.5000","7384"
"1150326","2423","固緯","40045","1955952","49.60","49.60","48.50","48.85","-0.0500","72"
"1150326","2424","隴華","160314","4264128","24.50","26.85","24.50","26.85","2.4000","60"
"1150326","2425","承啟","344787","9947194","29.35","29.40","28.40","28.50","-0.6500","382"
"1150326","2426","鼎元","3199493","118855219","37.25","38.75","33.60","33.60","-2.6000","1828"
"1150326","2427","三商電","308274","7313292","23.85","23.95","23.55","23.55","-0.3000","308"
"1150326","2428","興勤","198720","31533621","159.00","160.50","157.00","157.50","-0.5000","593"
"1150326","2429","銘旺科","308539","13800923","45.95","46.05","43.30","44.85","-0.7000","527"
"1150326","2430","燦坤","41742","912841","22.00","22.00","21.75","21.85","-0.0500","87"
"1150326","2431","聯昌","363221","4477545","12.40","12.55","12.20","12.20","-0.1000","290"
